season,game_id,date,matchup,home_team,home_abbr,home_score,home_win,home_fg_pct,home_fg3_pct,home_ft_pct,home_rebounds,home_assists,home_turnovers,away_team,away_abbr,away_score,away_win,away_fg_pct,away_fg3_pct,away_ft_pct,away_rebounds,away_assists,away_turnovers,total_points,point_differential
2023,0022300157,2023-11-08,WAS @ CHA,Charlotte Hornets,CHA,116,False,0.519,0.32,0.743,47,17,20,Washington Wizards,WAS,132,True,0.485,0.419,0.8,40,26,10,248,16
2023,0022300171,2023-11-09,IND vs. MIL,Indiana Pacers,IND,126,True,0.478,0.417,0.9,40,27,11,Milwaukee Bucks,MIL,124,False,0.529,0.333,0.885,41,23,14,250,2
2023,0022300172,2023-11-09,ATL @ ORL,Orlando Magic,ORL,119,False,0.467,0.37,0.714,47,19,19,Atlanta Hawks,ATL,120,True,0.482,0.385,0.767,36,22,17,239,1
2023,0022300010,2023-11-10,BOS vs. BKN,Boston Celtics,BOS,121,True,0.436,0.365,0.714,52,29,7,Brooklyn Nets,BKN,107,False,0.447,0.405,0.889,46,26,10,228,14
2023,0022300015,2023-11-10,LAL @ PHX,Phoenix Suns,PHX,119,False,0.447,0.405,0.741,52,22,13,Los Angeles Lakers,LAL,122,True,0.5,0.444,0.765,43,27,11,241,3
2023,0022300011,2023-11-10,NOP @ HOU,Houston Rockets,HOU,104,True,0.409,0.286,0.786,42,20,9,New Orleans Pelicans,NOP,101,False,0.453,0.32,0.735,49,12,18,205,3
2023,0022300008,2023-11-10,DET vs. PHI,Detroit Pistons,DET,106,False,0.465,0.286,0.818,48,28,16,Philadelphia 76ers,PHI,114,True,0.422,0.321,0.854,46,23,8,220,8
2023,0022300013,2023-11-10,SAS vs. MIN,San Antonio Spurs,SAS,110,False,0.467,0.353,0.632,38,29,14,Minnesota Timberwolves,MIN,117,True,0.494,0.37,0.778,51,23,18,227,7
2023,0022300016,2023-11-10,SAC vs. OKC,Sacramento Kings,SAC,105,True,0.418,0.277,0.762,52,28,17,Oklahoma City Thunder,OKC,98,False,0.448,0.233,0.813,38,22,16,203,7
2023,0022300012,2023-11-10,UTA @ MEM,Memphis Grizzlies,MEM,121,False,0.455,0.396,0.769,37,23,11,Utah Jazz,UTA,127,True,0.539,0.486,0.931,38,28,19,248,6
2023,0022300009,2023-11-10,CHA @ WAS,Washington Wizards,WAS,117,False,0.489,0.368,0.85,36,28,15,Charlotte Hornets,CHA,124,True,0.455,0.214,0.643,67,31,9,241,7
